(490.42892156358755, 793.8192468870293)
(480.9280571503413, 793.3433456379448)
(491.9014657167127, 793.8567127949907)
(411.47771888827026, 794.0557663779387)
(411.31706788435343, 794.0568474637728)
(421.6582335019966, 800.3173269867935)
(405.69802631934, 793.9198788064646)
(571.7241386689369, 752.3619541493116)
(571.9660177876276, 752.497366425884)
(608.9939100608993, 734.4926550734492)
(212.39824081408128, 737.1557484213314)
(212.19734050034992, 737.1972714214116)
(624.5987508024984, 734.4985310029381)
(0.0, 0.0)
(594.710213310414, 736.1311915098992)
(269.8844350063825, 724.617018227653)
(270.1584706930559, 724.5933192048814)
(617.241146029264, 720.0778437690781)
(617.2015963117851, 720.0277584221928)
(619.4162242265064, 716.4994882146513)
(619.2827140506192, 716.4992835007165)
(561.2290497439479, 700.1665207986415)
(561.2748596812851, 700.2248249437937)
(626.323156405274, 698.727188033068)
(626.5693574209225, 698.7267548064691)
(227.8724918029887, 718.8352680874951)
(582.8600962186138, 690.131543729645)
(587.6911188538119, 700.6061404634502)
(579.8151163748414, 682.9090495206636)
(678.9983025042438, 665.9983350041625)
(678.9966050169749, 665.9966700166499)
(629.0149016789966, 696.0659406487794)
(685.0923388546893, 663.5553097943297)
(685.1187213720375, 663.5234935602411)
(210.29155023869188, 693.8367641979218)
(210.75278769630006, 693.6728652368389)
(226.566433744224, 680.5083715054411)
(226.63995536557113, 680.4544392812273)
(226.71804734722298, 681.7273506173815)
(226.97716909012254, 681.7034370136732)
(613.1646227845907, 640.9423079700845)
(209.5631154371377, 647.3459105546026)
(209.39832287150847, 646.9570694088185)
(671.9988800018667, 626.4989558350736)
(671.9983200042001, 626.4984337539157)
(0.0, 0.0)
(201.25466519058998, 636.0776830458631)
(123.14787448620484, 601.8134774515316)
(606.734510019189, 667.2555338662393)
(604.4775385956964, 636.9826865327793)
(593.9970300148499, 673.9966300168498)
(722.2657036457285, 594.5103184306865)
(721.9981950045126, 594.4985137537157)
(689.218605194945, 684.953868062988)
(134.59229349860703, 593.2579409082795)
(647.8040472067656, 663.3497987188251)
